rootId,shortName,address,phone,schedule,yandexLocation.latitude,yandexLocation.longitude
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"СТАМБУЛ, MESIHPASA MAH ORDU CADDESI SANLI IS MERKEZI 91A",+90 (535) 9493581,пн-вс: 08:30-21:00,41.009282,28.955546
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, FULYA MAH. BUYUKDERE CAD. TONKER IS HANI NO:70 IC KAPI NO:1 SISLI",+90 (552) 3328888,пн-вс: 08:00-23:00,41.062399,28.98252
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"СТАМБУЛ, MESIHPASA MAH. LALELI CAD. NO13 IC KAPI NO16",+90 (212) 5186665,пн-вс: 08:00-22:00,41.008215,28.956304
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"СТАМБУЛ, KEMALPASA MAH FETHIBEY CAD NO41",+90 (539) 7159026,пн-вс: 08:00-23:00,41.010748,28.957144
ST01190,IST-PAY,"СТАМБУЛ, Kayisdagi Mah. Uslu Cad. No 100-102 D:8 	Atasehir",+90 (532) 6169001,пн-вс: 08:00-23:30,40.980194,29.153773
ST01190,IST-PAY,"СТАМБУЛ, Ataturk Mah. Sutcu Imam Cad. No:49/A	Umraniye",+90 (530) 2884536,пн-вс: 08:00-23:30,41.023992,29.088491
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"г. АДАНА, TEPEBAG MAH CAKMAK CAD HILAL HAN ISHANI SEYHAN ADANA",+90 (322) 3263156,пн-вс: 08:00-20:00,36.987031,35.325056
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"г. АНТАЛЬЯ, ARAPSUYU MH ATATURK BLV NO:33 B IC KAPI NO:1 KONYAALTI ANTALYA",+90 (532) 5896406,пн-вс: 08:00-23:00,36.881672,30.65526
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, NISANCAMAH NISANCA YOKUSU NO: 5 FATIH/ISTANBUL",+90 (551) 8602618,пн-вс: 08:00-23:00,41.006261,28.960677
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, KATIP KASIM MH AKSARAY CAD NO 47A IC KAPI NO 1 FATIH",+90 (532) 2272922,пн-вс: 08:00-23:00,41.007142,28.953951
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"г. ГАЗИАНТЕП, ALLEBEN MH ATATURK BULV NO 52 /1 SAHINBEY",+90 (544) 3878508,пн-вс: 08:00-23:00,37.062079,37.371154
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"СТАМБУЛ, AKSARAY MAH. GAZI MUSTAFA KEMALPASA CADDESI MERKEZ IS HANI 27/1",+90 (535) 7374242,пн-вс: 08:00-21:00,41.007884,28.953155
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, MAHMUTBEY MAH. 2422 SOKAK NO: 97 BAGCILAR/ ISTANBUL",+90 (532) 0630666,пн-вс: 08:00-23:00,41.06603,28.826335
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"г. МУГЛА, YOKUSBASI MAH. EMIN ANTER BLV. NO:31 IC KAPI NO:B BODRUM/MUGLA",+90 (532) 3768087,пн-сб: 09:00-20:00,37.04018,27.441492
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, AKSARAY MAH. INKILAP CAD. OTOHAN NO:43 C IC KAPI NO FATIH-ISTANBUL",+90 (533) 9221888,пн-вс: 08:00-23:00,41.008116,28.950989
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, KUCUKLANGA CAD. NO:61 IC KAPI NO:C FATIH -ISTANBUL",+90 (532) 5786824,пн-вс: 08:00-23:00,41.006797,28.949817
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, MEHMET NESIHOZMEN MAH. FATIH CADDESI N7/9 GUNGOREN-ISTANBUL",+90 (532) 0630666,пн-вс: 08:00-23:00,41.012646,28.884393
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, MESRUTIYET MAH. EBE KIZI SK 12 D SISLI",+90 (532) 0630666,пн-вс: 08:00-23:00,41.055503,28.988856
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, MOLLA FENARI MAH. CARSI KAPI NUR-U OSMANIYE CAD. CARSI SARRAFIYE APT. NO:28/1 FATIH",+90 (537) 3701717,пн-вс: 08:00-23:00,41.009115,28.968824
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, AKSEMSETTIN MAH. SAIR CEM SK. NO:17 A FATIH/ISTANBUL",+90 (534) 8216890,пн-вс: 08:00-22:00,41.017922,28.942136
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"г. АНТАЛЬЯ, ALTINDAG MAH 146 SOK DILEK APT 4D MURATPASA-ANTALYA",+90 (546) 9707007,пн-вс: 08:00-22:00,36.88995,30.694021
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, KULTUR MAH. NISPETIYE CD. AKMERKEZ CARSI NO:54 IC KAPI NO:172 BESIKTAS / ISTANBUL",+90 (532) 6090473,вс-сб: 08:00-22:00,41.076899,29.026802
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"г. МАРДИН, YENISEHIR MAH. RAVZACAF KANZA EVLERI 1. KISIM BLOK NO 39 A IC KAPI NO:1 ARTUKLU MARDIN",+90 (553) 8359333,вс-сб: 08:00-22:00,37.318595,40.721068
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"г. ОРДУ, YAZLIK BELEN ISTIKLAL 68 A AKKUS ORDU",+90 (542) 5459179,вс-сб: 08:00-23:59,40.793165,37.016988
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"г. АНКАРА, BAHCELIEVLER MAH. 278 CAD. NO: 18 IC KAPI NO:1 GOLBASI/ANKARA",+90 (545) 4237171,пн-вс: 08:00-23:00,39.789888,32.808731
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"СТАМБУЛ, AKSARAY MAH TIRKAKI HASANPASA SOKAK NO5A",+90 (532) 2323200,пн-вс: 08:30-20:00,41.00759,28.953107
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"СТАМБУЛ, MESIHPASA MAH ORDU CADDESI SANLI IS MERKEZI 91A - 401",+90 (535) 9493581,пн-вс: 08:30-21:00,41.009282,28.955546
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, Yenidogan Mh. 58. Bulvar Cd. No:79A Zeytinburnu -Istanbul",+90 (533) 3013195,вс-сб: 08:00-23:59,40.989545,28.903872
ST01190,IST-PAY,"СТАМБУЛ, Katip Kasim mah. Asya sok. No:22/ A Fatih",+90 (212) 6383827,пн-вс: 08:00-23:30,41.006274,28.957607
ST01190,IST-PAY,"СТАМБУЛ, Y. Camlicam Imar Iskan Blok Girisi Atasehir",+90 (507) 2274172,пн-вс: 08:00-23:30,40.99376,29.151064
